Probe	Chromosome	Start	End
Chr1:1-2000	1	1	3000000
Chr1:3016001-3018000	1	3016001	3018000
Chr1:3038001-3040000	1	3038001	3042000
Chr1:3138001-3140000	1	3138001	3140000
Chr1:3152001-3154000	1	3152001	3158000
Chr1:3160001-3162000	1	3160001	3164000
Chr1:3346001-3348000	1	3346001	3350000
Chr1:3500001-3502000	1	3500001	3502000
Chr1:4020001-4022000	1	4020001	4022000
Chr1:4080001-4082000	1	4080001	4084000
Chr1:4484001-4486000	1	4484001	4486000
Chr1:4558001-4560000	1	4558001	4566000
Chr1:5036001-5038000	1	5036001	5040000
Chr1:5078001-5080000	1	5078001	5082000
Chr1:5110001-5112000	1	5110001	5114000
Chr1:5190001-5192000	1	5190001	5194000
Chr1:5250001-5252000	1	5250001	5256000
Chr1:5268001-5270000	1	5268001	5272000
Chr1:5352001-5354000	1	5352001	5356000
Chr1:5434001-5436000	1	5434001	5436000
Chr1:5806001-5808000	1	5806001	5810000
Chr1:5822001-5824000	1	5822001	5826000
Chr1:5994001-5996000	1	5994001	6000000
Chr1:6004001-6006000	1	6004001	6006000
Chr1:6008001-6010000	1	6008001	6012000
Chr1:6028001-6030000	1	6028001	6030000
Chr1:6066001-6068000	1	6066001	6074000
Chr1:6104001-6106000	1	6104001	6106000
Chr1:6108001-6110000	1	6108001	6110000
Chr1:6122001-6124000	1	6122001	6126000
Chr1:6146001-6148000	1	6146001	6150000
Chr1:6168001-6170000	1	6168001	6172000
Chr1:6432001-6434000	1	6432001	6436000
Chr1:6918001-6920000	1	6918001	6922000
Chr1:7192001-7194000	1	7192001	7196000
Chr1:7232001-7234000	1	7232001	7236000
Chr1:7240001-7242000	1	7240001	7242000
Chr1:7330001-7332000	1	7330001	7334000
Chr1:7478001-7480000	1	7478001	7482000
Chr1:7616001-7618000	1	7616001	7620000
Chr1:7790001-7792000	1	7790001	7792000
Chr1:7844001-7846000	1	7844001	7848000
Chr1:7928001-7930000	1	7928001	7936000
Chr1:7944001-7946000	1	7944001	7950000
Chr1:7994001-7996000	1	7994001	8000000
Chr1:8028001-8030000	1	8028001	8030000
Chr1:8112001-8114000	1	8112001	8118000
Chr1:8124001-8126000	1	8124001	8130000
Chr1:8158001-8160000	1	8158001	8162000
Chr1:8190001-8192000	1	8190001	8196000
Chr1:8210001-8212000	1	8210001	8222000
Chr1:8226001-8228000	1	8226001	8228000
Chr1:8232001-8234000	1	8232001	8240000
Chr1:8250001-8252000	1	8250001	8256000
Chr1:8524001-8526000	1	8524001	8526000
Chr1:8630001-8632000	1	8630001	8640000
Chr1:8660001-8662000	1	8660001	8662000
Chr1:8690001-8692000	1	8690001	8694000
Chr1:8700001-8702000	1	8700001	8702000
Chr1:8706001-8708000	1	8706001	8722000
Chr1:8726001-8728000	1	8726001	8732000
Chr1:8768001-8770000	1	8768001	8770000
Chr1:8962001-8964000	1	8962001	8964000
Chr1:8970001-8972000	1	8970001	8974000
Chr1:9040001-9042000	1	9040001	9044000
Chr1:9046001-9048000	1	9046001	9050000
Chr1:9058001-9060000	1	9058001	9064000
Chr1:9176001-9178000	1	9176001	9182000
Chr1:9238001-9240000	1	9238001	9246000
