Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	DNMT_WT_ES	DNMT_WT_Epi_2	DNMT_KO_ES	DNMT_KO_Epi_2	TET_WT_ES	TET_WT_Epi_2	TET_KO_ES	TET_KO_Epi_2
Lypla1	1	4807788	4848410	+	Lypla1	ENSMUSG00000025903	lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]	+	gene	Name match	0	8.343240737915039	7.990652561187744	8.264731407165527	8.22858715057373	8.171669960021973	8.357012748718262	7.880746841430664	7.234233856201172
Oprk1	1	5588466	5606131	+	Oprk1	ENSMUSG00000025905	opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]	+	gene	Name match	0	-3.6905813217163086	0.5118086934089661	-3.5776023864746094	-0.4927641451358795	-3.633866548538208	-2.9419944286346436	-1.6520737409591675	2.2029571533203125
Gm38372	1	7148110	7152137	+	Gm38372	ENSMUSG00000103509	predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]	+	gene	Name match	0	1.9126094579696655	0.894339382648468	0.6782222390174866	0.7948935627937317	0.11301475763320923	-0.36526525020599365	1.381382942199707	2.6585638523101807
Rrs1	1	9545408	9547455	+	Rrs1	ENSMUSG00000061024	ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]	+	gene	Name match	0	7.225856304168701	7.392073154449463	7.186400890350342	7.302097797393799	7.279407024383545	7.043375492095947	6.681899547576904	5.809699535369873
Snhg6	1	9941959	9944118	-	Snhg6	ENSMUSG00000098234	small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]	-	gene	Name match	0	4.209224700927734	4.033031463623047	4.116876602172852	4.001902103424072	4.282318592071533	5.058640003204346	5.177168369293213	6.932552337646484
Prex2	1	10993465	11303681	+	Prex2	ENSMUSG00000048960	phosphatidylinositol-3,4,5-trisphosphate- dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]	+	gene	Name match	0	6.3958587646484375	5.733360290527344	5.720666408538818	5.4399027824401855	4.352328777313232	4.646917819976807	2.943894147872925	3.167499542236328
Prdm14	1	13113457	13127163	-	Prdm14	ENSMUSG00000042414	PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]	-	gene	Name match	0	6.038662910461426	1.5213316679000854	6.318441390991211	1.7544788122177124	5.854454517364502	1.9504810571670532	5.661605358123779	-0.9786834120750427
Msc	1	14753346	14755992	-	Msc	ENSMUSG00000025930	musculin [Source:MGI Symbol;Acc:MGI:1333884]	-	gene	Name match	0	5.3131103515625	0.6368096470832825	4.137071132659912	1.9081121683120728	5.371861934661865	2.4276771545410156	1.5503696203231812	-3.142634391784668
Gm37509	1	15853331	15856499	+	Gm37509	ENSMUSG00000104379	predicted gene, 37509 [Source:MGI Symbol;Acc:MGI:5610737]	+	gene	Name match	0	-3.5385780334472656	-2.980440139770508	-3.4255990982055664	-3.6431682109832764	-3.532531499862671	-3.571650266647339	-0.8654417991638184	-0.15020780265331268
Mcm3	1	20802968	20820312	-	Mcm3	ENSMUSG00000041859	minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]	-	gene	Name match	0	9.75352668762207	9.690193176269531	9.86313247680664	9.72276782989502	9.18144702911377	8.63283920288086	8.982741355895996	7.734471797943115
Gsta3	1	21240589	21265661	+	Gsta3	ENSMUSG00000025934	glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]	+	gene	Name match	0	5.322475433349609	2.589930295944214	5.159539699554443	2.346677541732788	2.789008378982544	0.47713503241539	1.8086808919906616	-3.2439699172973633
Dst	1	33908225	34308661	+	Dst	ENSMUSG00000026131	dystonin [Source:MGI Symbol;Acc:MGI:104627]	+	gene	Name match	0	8.8895263671875	7.505256652832031	7.870625972747803	7.692378997802734	7.536263942718506	4.55278205871582	7.837733745574951	6.168501377105713
Ccdc115	1	34436670	34439672	-	Ccdc115	ENSMUSG00000042111	coiled-coil domain containing 115 [Source:MGI Symbol;Acc:MGI:1916918]	-	gene	Name match	0	5.839076042175293	5.538799285888672	5.807502746582031	5.5691657066345215	5.480316162109375	6.3862481117248535	4.806770324707031	5.036076068878174
Imp4	1	34439851	34449356	+	Imp4	ENSMUSG00000026127	IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]	+	gene	Name match	0	7.397037982940674	7.902595520019531	7.3751654624938965	7.696203231811523	7.24101448059082	7.3659234046936035	6.5953369140625	6.389149188995361
Gm37309	1	38992678	38994316	+	Gm37309	ENSMUSG00000103046	predicted gene, 37309 [Source:MGI Symbol;Acc:MGI:5610537]	+	gene	Name match	0	-2.0296170711517334	-2.011476516723633	-2.947946310043335	-2.7308456897735596	-2.67087721824646	-3.0433294773101807	-1.9347394704818726	0.7629720568656921
Creg2	1	39618406	39651474	-	Creg2	ENSMUSG00000050967	cellular repressor of E1A-stimulated genes 2 [Source:MGI Symbol;Acc:MGI:1928333]	-	gene	Name match	0	0.09481517225503922	0.29082033038139343	-0.13087570667266846	-2.0777266025543213	2.001013994216919	1.0728038549423218	1.3274593353271484	-2.3686583042144775
Il1r2	1	40074079	40125231	+	Il1r2	ENSMUSG00000026073	interleukin 1 receptor, type II [Source:MGI Symbol;Acc:MGI:96546]	+	gene	Name match	0	-2.210902214050293	-1.6781431436538696	-3.5776023864746094	-3.6431682109832764	-2.0177576541900635	1.1531397104263306	0.39739012718200684	3.651594877243042
Fzd7	1	59482424	59486955	+	Fzd7	ENSMUSG00000041075	frizzled class receptor 7 [Source:MGI Symbol;Acc:MGI:108570]	+	gene	Name match	0	4.543560981750488	7.985546112060547	4.591899394989014	7.589231014251709	4.978321552276611	7.008610248565674	3.9526150226593018	5.942096710205078
Ino80d	1	62958418	63114667	-	Ino80d	ENSMUSG00000040865	INO80 complex subunit D [Source:MGI Symbol;Acc:MGI:3027003]	-	gene	Name match	0	6.875155448913574	5.764469146728516	6.406513690948486	5.638118267059326	6.074159145355225	4.232369899749756	6.274782657623291	5.869090557098389
Gm20342	1	63117118	63126837	+	Gm20342	ENSMUSG00000101599	predicted gene, 20342 [Source:MGI Symbol;Acc:MGI:5012527]	+	gene	Name match	0	2.761610746383667	0.8778629302978516	1.8196477890014648	0.866569995880127	0.9208812713623047	0.7717576026916504	1.0640568733215332	3.560885429382324
Idh1	1	65158616	65186500	-	Idh1	ENSMUSG00000025950	isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]	-	gene	Name match	0	9.305191040039062	7.228990077972412	9.30500316619873	7.8330769538879395	7.788364887237549	7.716700077056885	7.763322353363037	6.8303399085998535
