Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	2i DNMT WT	2i DNMT KO	EpiLC d2 DNMT WT	EpiLC d2 DNMT KO	EB DNMT WT d2	EB DNMT KO d2	EB DNMT WT d4	EB DNMT KO d4	EB DNMT WT d6	EB DNMT KO d6	EB DNMT WT d8	EB DNMT KO d8
Mcmdc2	1	9908638	9942085	+	Mcmdc2	ENSMUSG00000046101	minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]	+	gene	Name match	0	2.1756019592285156	2.83636736869812	0.45453381538391113	1.4522610902786255	-0.7901214957237244	0.24324186146259308	-0.7316356897354126	0.4889644682407379	-3.658297300338745	0.1722068190574646	-3.7444210052490234	0.44211849570274353
Prdm14	1	13113457	13127163	-	Prdm14	ENSMUSG00000042414	PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]	-	gene	Name match	0	6.038662910461426	6.318441390991211	1.5213316679000854	1.7544788122177124	2.0588324069976807	1.8881416320800781	2.6752548217773438	3.9055869579315186	1.1088234186172485	4.035515308380127	-1.4332998991012573	4.416666507720947
Stau2	1	16228674	16520112	-	Stau2	ENSMUSG00000025920	staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]	-	gene	Name match	0	3.792227268218994	4.263513565063477	4.4386372566223145	5.127384662628174	3.8517110347747803	4.035006999969482	4.505354881286621	4.695702075958252	4.351596832275391	4.496735572814941	4.270901203155518	4.656126022338867
Paqr8	1	20890606	20939650	+	Paqr8	ENSMUSG00000025931	progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479]	+	gene	Name match	0	2.1026766300201416	1.6664422750473022	0.9503092765808105	0.7007367014884949	3.1563379764556885	1.7302441596984863	2.707134246826172	2.985788345336914	2.204369068145752	2.9910449981689453	2.578685998916626	2.6770381927490234
C2cd6	1	59050506	59094900	-	C2cd6	ENSMUSG00000072295	C2 calcium dependent domain containing 6 [Source:MGI Symbol;Acc:MGI:1920713]	-	gene	Name match	0	0.734869122505188	2.409381628036499	-0.44466328620910645	1.6725044250488281	-3.514911651611328	-0.8102157115936279	-3.6761200428009033	-1.444525122642517	-3.708965301513672	-2.3757450580596924	-3.7444210052490234	-2.961168050765991
Ica1l	1	59982490	60043184	-	Ica1l	ENSMUSG00000026018	islet cell autoantigen 1-like [Source:MGI Symbol;Acc:MGI:1917625]	-	gene	Name match	0	0.7013120651245117	-0.020017286762595177	-1.7619895935058594	0.2672717869281769	-1.4446128606796265	-0.4642769694328308	-3.0241169929504395	-0.2260744571685791	-2.940962791442871	-1.5842801332473755	-3.693753242492676	-1.779727816581726
Zdbf2	1	63273265	63314576	+	Zdbf2	ENSMUSG00000027520	zinc finger, DBF-type containing 2 [Source:MGI Symbol;Acc:MGI:1921134]	+	gene	Name match	0	6.211518287658691	5.960137844085693	7.417673587799072	7.4754157066345215	7.704637050628662	7.49289608001709	7.865244388580322	7.683743953704834	7.182886123657227	7.255401134490967	6.98334264755249	7.092021942138672
Spag16	1	69826970	70725132	+	Spag16	ENSMUSG00000053153	sperm associated antigen 16 [Source:MGI Symbol;Acc:MGI:1913972]	+	gene	Name match	0	2.282221794128418	2.2083492279052734	1.395987629890442	2.917682409286499	0.5628431439399719	0.6757770776748657	0.1720418483018875	1.418196678161621	0.5254828333854675	1.6257367134094238	-1.5034890174865723	2.0643630027770996
Tnp1	1	73015074	73015909	-	Tnp1	ENSMUSG00000026182	transition protein 1 [Source:MGI Symbol;Acc:MGI:98784]	-	gene	Name match	0	-3.614579677581787	-3.5269343852996826	-3.66076397895813	-3.114847183227539	-3.565579414367676	-3.604919910430908	-3.6761200428009033	-3.6728012561798096	-3.708965301513672	-3.533722162246704	-3.7444210052490234	-3.5908243656158447
Cfap65	1	74902071	74935599	-	Cfap65	ENSMUSG00000047021	cilia and flagella associated protein 65 [Source:MGI Symbol;Acc:MGI:2444274]	-	gene	Name match	0	-3.6905813217163086	-2.9986140727996826	-2.4521193504333496	-3.6431682109832764	-2.7975776195526123	-3.604919910430908	-3.100118637084961	-3.6728012561798096	-3.708965301513672	-2.9040660858154297	-3.6937530040740967	-3.5908243656158447
Ihh	1	74945315	74951672	-	Ihh	ENSMUSG00000006538	Indian hedgehog [Source:MGI Symbol;Acc:MGI:96533]	-	gene	Name match	0	-2.8220982551574707	-1.9614933729171753	-1.8731307983398438	-1.6702626943588257	-3.565579414367676	-0.7069903612136841	-3.5241169929504395	0.5244384407997131	3.092543363571167	0.15804845094680786	4.49191427230835	1.4772151708602905
Agfg1	1	82839483	82901182	+	Agfg1	ENSMUSG00000026159	ArfGAP with FG repeats 1 [Source:MGI Symbol;Acc:MGI:1333754]	+	gene	Name match	0	8.04222297668457	8.154399871826172	7.452913761138916	7.555650234222412	6.818527698516846	6.756495475769043	6.963068962097168	6.920638561248779	6.91370964050293	7.01129674911499	6.816102504730225	7.148029804229736
Nppc	1	86666291	86670571	-	Nppc	ENSMUSG00000026241	natriuretic peptide type C [Source:MGI Symbol;Acc:MGI:97369]	-	gene	Name match	0	-3.6905813217163086	-2.7022907733917236	-3.5594284534454346	-1.0210849046707153	-2.407602548599243	-1.8679543733596802	-3.6761200428009033	-2.9924771785736084	-3.708965301513672	-3.381718873977661	-3.7444210052490234	-1.9045263528823853
Bcl2	1	106538178	106714274	-	Bcl2	ENSMUSG00000057329	B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]	-	gene	Name match	0	-3.5385780334472656	-3.476267099380493	-2.2903101444244385	-0.6545731425285339	0.4244973361492157	0.5934616327285767	2.701488733291626	2.4222116470336914	2.558805227279663	1.7731720209121704	2.7580559253692627	2.4342896938323975
Inhbb	1	119415465	119422248	-	Inhbb	ENSMUSG00000037035	inhibin beta-B [Source:MGI Symbol;Acc:MGI:96571]	-	gene	Name match	0	3.953275203704834	5.053029537200928	1.9457567930221558	0.22742414474487305	0.002003878355026245	0.08549092710018158	-0.9594753384590149	-0.2260744571685791	-3.658297300338745	0.31454354524612427	-0.8948319554328918	0.716945469379425
Cfap221	1	119923341	119997234	-	Cfap221	ENSMUSG00000036962	cilia and flagella associated protein 221 [Source:MGI Symbol;Acc:MGI:2684947]	-	gene	Name match	0	-3.6905813217163086	-3.526934862136841	-2.7854526042938232	-3.693835496902466	-3.565579414367676	-3.604919910430908	-3.6761200428009033	-3.6728012561798096	-3.708965301513672	-3.4830543994903564	-3.6937530040740967	-3.6414921283721924
Cxcr4	1	128588199	128592293	-	Cxcr4	ENSMUSG00000045382	chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563]	-	gene	Name match	0	-0.1814553290605545	-0.1790056824684143	-2.4521193504333496	-2.7678565979003906	-0.578967809677124	0.4539737105369568	0.5902924537658691	0.7599854469299316	5.810122966766357	3.481904983520508	4.044932842254639	3.316807746887207
Aspm	1	139454772	139494091	+	Aspm	ENSMUSG00000033952	abnormal spindle microtubule assembly [Source:MGI Symbol;Acc:MGI:1334448]	+	gene	Name match	0	7.339457988739014	7.073581218719482	7.225465297698975	7.303230285644531	6.6547698974609375	6.369165420532227	6.548068046569824	6.750121593475342	6.649454116821289	6.630675792694092	6.566342830657959	6.721836090087891
Rnf2	1	151458004	151500955	-	Rnf2	ENSMUSG00000026484	ring finger protein 2 [Source:MGI Symbol;Acc:MGI:1101759]	-	gene	Name match	0	7.739075660705566	7.874073028564453	7.398228168487549	7.5431694984436035	6.530782222747803	6.498073101043701	6.675555229187012	6.622620105743408	7.107075214385986	6.703680515289307	7.205149173736572	6.810457706451416
Tdrd5	1	156255296	156303664	-	Tdrd5	ENSMUSG00000060985	tudor domain containing 5 [Source:MGI Symbol;Acc:MGI:2684949]	-	gene	Name match	0	0.09481513500213623	0.7521774172782898	2.548219680786133	2.4620189666748047	2.3918139934539795	1.7258591651916504	3.3939576148986816	3.0124990940093994	3.7048771381378174	2.824122428894043	3.2801122665405273	2.6233246326446533
