Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	DNMT_WT_ES	DNMT_WT_Epi_2	DNMT_KO_ES	DNMT_KO_Epi_2	TET_WT_ES	TET_WT_Epi_2	TET_KO_ES	TET_KO_Epi_2
Sgk3	1	9798107	9900845	+	Sgk3	ENSMUSG00000025915	serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]	+	gene	Name match	0	5.067684650421143	3.301894187927246	4.9750142097473145	4.368042469024658	3.8524723052978516	3.256697654724121	4.045107364654541	3.8244025707244873
Tcf24	1	9960163	9967932	-	Tcf24	ENSMUSG00000099032	transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]	-	gene	Name match	0	2.588345527648926	1.915643334388733	3.348397970199585	3.8416013717651367	1.5510333776474	2.2047674655914307	1.422128677368164	2.6889867782592773
Arfgef1	1	10137571	10232670	-	Arfgef1	ENSMUSG00000067851	ADP-ribosylation factor guanine nucleotide- exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]	-	gene	Name match	0	6.983484268188477	6.936738967895508	7.293394088745117	7.396300792694092	6.509884357452393	5.762468338012695	6.573695659637451	5.544677734375
Slco5a1	1	12866549	12992650	-	Slco5a1	ENSMUSG00000025938	solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]	-	gene	Name match	0	2.558492660522461	1.4174360036849976	2.3972489833831787	2.5637447834014893	1.8385595083236694	0.8489606976509094	2.5421199798583984	1.064410924911499
Stau2	1	16228674	16520112	-	Stau2	ENSMUSG00000025920	staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]	-	gene	Name match	0	3.792227268218994	4.4386372566223145	4.263513565063477	5.127384662628174	2.8620853424072266	3.9626312255859375	3.8659658432006836	3.657947540283203
Rims1	1	22286251	22805994	-	Rims1	ENSMUSG00000041670	regulating synaptic membrane exocytosis 1 [Source:MGI Symbol;Acc:MGI:2152971]	-	gene	Name match	0	3.167971611022949	0.14384825527668	3.522045135498047	2.127351760864258	-2.1795666217803955	-2.6963388919830322	1.4562363624572754	-0.37623175978660583
Smap1	1	23844846	23922317	-	Smap1	ENSMUSG00000026155	small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261]	-	gene	Name match	0	6.882451057434082	6.235746383666992	7.15479040145874	6.674111843109131	6.085001468658447	5.364080429077148	6.5727458000183105	5.080521106719971
Fam135a	1	24011093	24100341	-	Fam135a	ENSMUSG00000026153	family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]	-	gene	Name match	0	4.325953483581543	4.986074924468994	4.7556843757629395	5.921706676483154	4.3506388664245605	5.329075336456299	5.063939571380615	5.175964832305908
Vwa3b	1	37026596	37187613	+	Vwa3b	ENSMUSG00000050122	von Willebrand factor A domain containing 3B [Source:MGI Symbol;Acc:MGI:1918103]	+	gene	Name match	0	5.052309036254883	4.588258743286133	4.948427200317383	3.7597389221191406	3.039952516555786	4.0168585777282715	3.570129156112671	3.4058339595794678
Gm28321	1	50815375	50817701	+	Gm28321	ENSMUSG00000100816	predicted gene 28321 [Source:MGI Symbol;Acc:MGI:5579027]	+	gene	Name match	0	-1.5851328372955322	-0.5338234305381775	-1.6057887077331543	1.6426805257797241	-3.633866548538208	-1.973030686378479	-3.634694814682007	-2.257517099380493
