Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	2i DNMT WT	2i DNMT KO	EpiLC d2 DNMT WT	EpiLC d2 DNMT KO	EB DNMT WT d2	EB DNMT KO d2	EB DNMT WT d4	EB DNMT KO d4	EB DNMT WT d6	EB DNMT KO d6	EB DNMT WT d8	EB DNMT KO d8
Sox17	1	4490931	4497354	-	Sox17	ENSMUSG00000025902	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]	-	gene	Name match	0	0.5388309955596924	0.3923291265964508	-1.632308840751648	-0.0014537771930918097	-0.30852648615837097	1.793009638786316	1.0998468399047852	1.7796167135238647	5.510354518890381	2.7347195148468018	5.262484073638916	3.6222336292266846
Mcmdc2	1	9908638	9942085	+	Mcmdc2	ENSMUSG00000046101	minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]	+	gene	Name match	0	2.1756019592285156	2.83636736869812	0.45453381538391113	1.4522610902786255	-0.7901214957237244	0.24324186146259308	-0.7316356897354126	0.4889644682407379	-3.658297300338745	0.1722068190574646	-3.7444210052490234	0.44211849570274353
Spag16	1	69826970	70725132	+	Spag16	ENSMUSG00000053153	sperm associated antigen 16 [Source:MGI Symbol;Acc:MGI:1913972]	+	gene	Name match	0	2.282221794128418	2.2083492279052734	1.395987629890442	2.917682409286499	0.5628431439399719	0.6757770776748657	0.1720418483018875	1.418196678161621	0.5254828333854675	1.6257367134094238	-1.5034890174865723	2.0643630027770996
Rgs2	1	143999338	144004161	-	Rgs2	ENSMUSG00000026360	regulator of G-protein signaling 2 [Source:MGI Symbol;Acc:MGI:1098271]	-	gene	Name match	0	-3.6905813217163086	-2.8972785472869873	0.9506707787513733	1.172415852546692	1.8468427658081055	2.6402950286865234	1.5142909288406372	2.496724843978882	-0.4113914966583252	1.0634108781814575	3.5119917392730713	1.1289304494857788
Pla2g4a	1	149829618	149961290	-	Pla2g4a	ENSMUSG00000056220	phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:MGI Symbol;Acc:MGI:1195256]	-	gene	Name match	0	-2.82209849357605	-0.13087569177150726	1.624153733253479	2.0557219982147217	3.158399820327759	3.7782065868377686	1.7366832494735718	3.3332831859588623	0.4528004825115204	2.644615888595581	4.021938323974609	2.9457225799560547
Ptgs2	1	150100031	150108227	+	Ptgs2	ENSMUSG00000032487	prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]	+	gene	Name match	0	-1.5851328372955322	-2.947946310043335	-1.8496675491333008	-0.8407365679740906	-1.3373035192489624	-2.7364370822906494	-2.731635570526123	0.8761188983917236	-1.0732249021530151	1.8967009782791138	2.3852522373199463	2.4945857524871826
Tdrd5	1	156255296	156303664	-	Tdrd5	ENSMUSG00000060985	tudor domain containing 5 [Source:MGI Symbol;Acc:MGI:2684949]	-	gene	Name match	0	0.09481513500213623	0.7521774172782898	2.548219680786133	2.4620189666748047	2.3918139934539795	1.7258591651916504	3.3939576148986816	3.0124990940093994	3.7048771381378174	2.824122428894043	3.2801122665405273	2.6233246326446533
Mael	1	166201201	166238747	-	Mael	ENSMUSG00000040629	maelstrom spermatogenic transposon silencer [Source:MGI Symbol;Acc:MGI:2138453]	-	gene	Name match	0	2.708099603652954	3.16851806640625	5.879357814788818	6.39423131942749	3.5994198322296143	4.150590419769287	1.8120956420898438	2.5879766941070557	-2.671844720840454	2.9933512210845947	-3.7444210052490234	2.731029510498047
D1Pas1	1	186967416	186970627	+	D1Pas1	ENSMUSG00000039224	DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]	+	gene	Name match	0	6.65706205368042	6.603121280670166	6.307199001312256	6.300149440765381	5.209494590759277	4.92503547668457	2.4645230770111084	4.096933841705322	-1.3188800811767578	4.168092250823975	-2.2024428844451904	4.1246795654296875
Bmi1	2	18677018	18686629	+	Bmi1	ENSMUSG00000026739	Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174]	+	gene	Name match	0	5.457262992858887	5.6046881675720215	5.008546352386475	5.9583516120910645	4.317075729370117	5.111321926116943	3.575719118118286	5.131532669067383	4.552331924438477	4.997836589813232	4.951619625091553	5.2723069190979
